index,LOCATION,INDICATOR,SUBJECT,TIME,Value,LOCATION_encoded,INDICATOR_encoded,SUBJECT_encoded,Cluster
0,AUS,PISAMATH,BOY,2003,527.0,0,0,0,1
1,AUS,PISAMATH,BOY,2006,527.0,0,0,0,1
2,AUS,PISAMATH,BOY,2009,519.0,0,0,0,1
3,AUS,PISAMATH,BOY,2012,510.115,0,0,0,1
4,AUS,PISAMATH,BOY,2015,497.0,0,0,0,1
5,AUS,PISAMATH,BOY,2018,494.0,0,0,0,1
6,AUS,PISAMATH,GIRL,2003,522.0,0,0,1,1
7,AUS,PISAMATH,GIRL,2006,513.0,0,0,1,1
8,AUS,PISAMATH,GIRL,2009,509.0,0,0,1,1
9,AUS,PISAMATH,GIRL,2012,497.821,0,0,1,1
10,AUS,PISAMATH,GIRL,2015,491.0,0,0,1,1
11,AUS,PISAMATH,GIRL,2018,488.0,0,0,1,1
12,AUT,PISAMATH,BOY,2003,509.0,1,0,0,1
13,AUT,PISAMATH,BOY,2006,517.0,1,0,0,1
14,AUT,PISAMATH,BOY,2012,516.682,1,0,0,1
15,AUT,PISAMATH,BOY,2015,510.0,1,0,0,1
16,AUT,PISAMATH,BOY,2018,505.0,1,0,0,1
17,AUT,PISAMATH,GIRL,2003,502.0,1,0,1,1
18,AUT,PISAMATH,GIRL,2006,494.0,1,0,1,1
19,AUT,PISAMATH,GIRL,2012,494.462,1,0,1,1
20,AUT,PISAMATH,GIRL,2015,483.0,1,0,1,1
21,AUT,PISAMATH,GIRL,2018,492.0,1,0,1,1
22,BEL,PISAMATH,BOY,2003,533.0,2,0,0,1
23,BEL,PISAMATH,BOY,2006,524.0,2,0,0,1
24,BEL,PISAMATH,BOY,2009,526.0,2,0,0,1
25,BEL,PISAMATH,BOY,2012,520.081,2,0,0,1
26,BEL,PISAMATH,BOY,2015,514.0,2,0,0,1
27,BEL,PISAMATH,BOY,2018,514.0,2,0,0,1
28,BEL,PISAMATH,GIRL,2003,525.0,2,0,1,1
29,BEL,PISAMATH,GIRL,2006,517.0,2,0,1,1
30,BEL,PISAMATH,GIRL,2009,504.0,2,0,1,1
31,BEL,PISAMATH,GIRL,2012,508.935,2,0,1,1
32,BEL,PISAMATH,GIRL,2015,500.0,2,0,1,1
33,BEL,PISAMATH,GIRL,2018,502.0,2,0,1,1
34,CAN,PISAMATH,BOY,2003,541.0,4,0,0,1
35,CAN,PISAMATH,BOY,2006,534.0,4,0,0,1
36,CAN,PISAMATH,BOY,2009,533.0,4,0,0,1
37,CAN,PISAMATH,BOY,2012,523.154,4,0,0,1
38,CAN,PISAMATH,BOY,2015,520.0,4,0,0,1
39,CAN,PISAMATH,BOY,2018,514.0,4,0,0,1
40,CAN,PISAMATH,GIRL,2003,530.0,4,0,1,1
41,CAN,PISAMATH,GIRL,2006,520.0,4,0,1,1
42,CAN,PISAMATH,GIRL,2009,521.0,4,0,1,1
43,CAN,PISAMATH,GIRL,2012,513.022,4,0,1,1
44,CAN,PISAMATH,GIRL,2015,511.0,4,0,1,1
45,CAN,PISAMATH,GIRL,2018,510.0,4,0,1,1
46,CZE,PISAMATH,BOY,2003,524.0,9,0,0,1
47,CZE,PISAMATH,BOY,2006,514.0,9,0,0,1
48,CZE,PISAMATH,BOY,2009,495.0,9,0,0,1
49,CZE,PISAMATH,BOY,2012,504.71,9,0,0,1
50,CZE,PISAMATH,BOY,2015,496.0,9,0,0,1
51,CZE,PISAMATH,BOY,2018,501.0,9,0,0,1
52,CZE,PISAMATH,GIRL,2003,509.0,9,0,1,1
53,CZE,PISAMATH,GIRL,2006,504.0,9,0,1,1
54,CZE,PISAMATH,GIRL,2009,490.0,9,0,1,1
55,CZE,PISAMATH,GIRL,2012,492.903,9,0,1,1
56,CZE,PISAMATH,GIRL,2015,489.0,9,0,1,1
57,CZE,PISAMATH,GIRL,2018,498.0,9,0,1,1
58,DNK,PISAMATH,BOY,2003,523.0,11,0,0,1
59,DNK,PISAMATH,BOY,2006,518.0,11,0,0,1
60,DNK,PISAMATH,BOY,2009,511.0,11,0,0,1
61,DNK,PISAMATH,BOY,2012,506.953,11,0,0,1
62,DNK,PISAMATH,BOY,2015,516.0,11,0,0,1
63,DNK,PISAMATH,BOY,2018,511.0,11,0,0,1
64,DNK,PISAMATH,GIRL,2003,506.0,11,0,1,1
65,DNK,PISAMATH,GIRL,2006,508.0,11,0,1,1
66,DNK,PISAMATH,GIRL,2009,495.0,11,0,1,1
67,DNK,PISAMATH,GIRL,2012,493.029,11,0,1,1
68,DNK,PISAMATH,GIRL,2015,506.0,11,0,1,1
69,DNK,PISAMATH,GIRL,2018,507.0,11,0,1,1
70,FIN,PISAMATH,BOY,2003,548.0,14,0,0,1
71,FIN,PISAMATH,BOY,2006,554.0,14,0,0,1
72,FIN,PISAMATH,BOY,2009,542.0,14,0,0,1
73,FIN,PISAMATH,BOY,2012,517.391,14,0,0,1
74,FIN,PISAMATH,BOY,2015,507.0,14,0,0,1
75,FIN,PISAMATH,BOY,2018,504.0,14,0,0,1
76,FIN,PISAMATH,GIRL,2003,541.0,14,0,1,1
77,FIN,PISAMATH,GIRL,2006,543.0,14,0,1,1
78,FIN,PISAMATH,GIRL,2009,539.0,14,0,1,1
79,FIN,PISAMATH,GIRL,2012,520.185,14,0,1,1
80,FIN,PISAMATH,GIRL,2015,515.0,14,0,1,1
81,FIN,PISAMATH,GIRL,2018,510.0,14,0,1,1
82,FRA,PISAMATH,BOY,2003,515.0,15,0,0,1
83,FRA,PISAMATH,BOY,2006,499.0,15,0,0,1
84,FRA,PISAMATH,BOY,2009,505.0,15,0,0,1
85,FRA,PISAMATH,BOY,2012,499.355,15,0,0,1
86,FRA,PISAMATH,BOY,2015,496.0,15,0,0,1
87,FRA,PISAMATH,BOY,2018,499.0,15,0,0,1
88,FRA,PISAMATH,GIRL,2003,507.0,15,0,1,1
89,FRA,PISAMATH,GIRL,2006,492.0,15,0,1,1
90,FRA,PISAMATH,GIRL,2009,489.0,15,0,1,1
91,FRA,PISAMATH,GIRL,2012,490.853,15,0,1,1
92,FRA,PISAMATH,GIRL,2015,490.0,15,0,1,1
93,FRA,PISAMATH,GIRL,2018,492.0,15,0,1,1
94,DEU,PISAMATH,BOY,2003,508.0,10,0,0,1
95,DEU,PISAMATH,BOY,2006,513.0,10,0,0,1
96,DEU,PISAMATH,BOY,2009,520.0,10,0,0,1
97,DEU,PISAMATH,BOY,2012,520.19,10,0,0,1
98,DEU,PISAMATH,BOY,2015,514.0,10,0,0,1
99,DEU,PISAMATH,BOY,2018,503.0,10,0,0,1
100,DEU,PISAMATH,GIRL,2003,499.0,10,0,1,1
101,DEU,PISAMATH,GIRL,2006,494.0,10,0,1,1
102,DEU,PISAMATH,GIRL,2009,505.0,10,0,1,1
103,DEU,PISAMATH,GIRL,2012,506.625,10,0,1,1
104,DEU,PISAMATH,GIRL,2015,498.0,10,0,1,1
105,DEU,PISAMATH,GIRL,2018,496.0,10,0,1,1
106,GRC,PISAMATH,BOY,2003,455.0,17,0,0,2
107,GRC,PISAMATH,BOY,2006,462.0,17,0,0,2
108,GRC,PISAMATH,BOY,2009,473.0,17,0,0,1
109,GRC,PISAMATH,BOY,2012,457.039,17,0,0,2
110,GRC,PISAMATH,BOY,2015,454.0,17,0,0,2
111,GRC,PISAMATH,BOY,2018,452.0,17,0,0,2
112,GRC,PISAMATH,GIRL,2003,436.0,17,0,1,2
113,GRC,PISAMATH,GIRL,2006,457.0,17,0,1,2
114,GRC,PISAMATH,GIRL,2009,459.0,17,0,1,2
115,GRC,PISAMATH,GIRL,2012,448.984,17,0,1,2
116,GRC,PISAMATH,GIRL,2015,454.0,17,0,1,2
117,GRC,PISAMATH,GIRL,2018,451.0,17,0,1,2
118,HUN,PISAMATH,BOY,2003,494.0,19,0,0,1
119,HUN,PISAMATH,BOY,2006,496.0,19,0,0,1
120,HUN,PISAMATH,BOY,2009,496.0,19,0,0,1
121,HUN,PISAMATH,BOY,2012,481.749,19,0,0,1
122,HUN,PISAMATH,BOY,2015,481.0,19,0,0,1
123,HUN,PISAMATH,BOY,2018,486.0,19,0,0,1
124,HUN,PISAMATH,GIRL,2003,486.0,19,0,1,1
125,HUN,PISAMATH,GIRL,2006,486.0,19,0,1,1
126,HUN,PISAMATH,GIRL,2009,484.0,19,0,1,1
127,HUN,PISAMATH,GIRL,2012,472.664,19,0,1,1
128,HUN,PISAMATH,GIRL,2015,473.0,19,0,1,1
129,HUN,PISAMATH,GIRL,2018,477.0,19,0,1,1
130,ISL,PISAMATH,BOY,2003,508.0,22,0,0,1
131,ISL,PISAMATH,BOY,2006,503.0,22,0,0,1
132,ISL,PISAMATH,BOY,2009,508.0,22,0,0,1
133,ISL,PISAMATH,BOY,2012,489.72,22,0,0,1
134,ISL,PISAMATH,BOY,2015,487.0,22,0,0,1
135,ISL,PISAMATH,BOY,2018,490.0,22,0,0,1
136,ISL,PISAMATH,GIRL,2003,523.0,22,0,1,1
137,ISL,PISAMATH,GIRL,2006,508.0,22,0,1,1
138,ISL,PISAMATH,GIRL,2009,505.0,22,0,1,1
139,ISL,PISAMATH,GIRL,2012,495.947,22,0,1,1
140,ISL,PISAMATH,GIRL,2015,489.0,22,0,1,1
141,ISL,PISAMATH,GIRL,2018,500.0,22,0,1,1
142,IRL,PISAMATH,BOY,2003,510.0,21,0,0,1
143,IRL,PISAMATH,BOY,2006,507.0,21,0,0,1
144,IRL,PISAMATH,BOY,2009,491.0,21,0,0,1
145,IRL,PISAMATH,BOY,2012,509.035,21,0,0,1
146,IRL,PISAMATH,BOY,2015,512.0,21,0,0,1
147,IRL,PISAMATH,BOY,2018,503.0,21,0,0,1
148,IRL,PISAMATH,GIRL,2003,495.0,21,0,1,1
149,IRL,PISAMATH,GIRL,2006,496.0,21,0,1,1
150,IRL,PISAMATH,GIRL,2009,483.0,21,0,1,1
151,IRL,PISAMATH,GIRL,2012,493.705,21,0,1,1
152,IRL,PISAMATH,GIRL,2015,495.0,21,0,1,1
153,IRL,PISAMATH,GIRL,2018,497.0,21,0,1,1
154,ITA,PISAMATH,BOY,2003,475.0,24,0,0,1
155,ITA,PISAMATH,BOY,2006,470.0,24,0,0,1
156,ITA,PISAMATH,BOY,2009,490.0,24,0,0,1
157,ITA,PISAMATH,BOY,2012,494.199,24,0,0,1
158,ITA,PISAMATH,BOY,2015,500.0,24,0,0,1
159,ITA,PISAMATH,BOY,2018,494.0,24,0,0,1
160,ITA,PISAMATH,GIRL,2003,457.0,24,0,1,2
161,ITA,PISAMATH,GIRL,2006,453.0,24,0,1,2
162,ITA,PISAMATH,GIRL,2009,475.0,24,0,1,1
163,ITA,PISAMATH,GIRL,2012,475.794,24,0,1,1
164,ITA,PISAMATH,GIRL,2015,480.0,24,0,1,1
165,ITA,PISAMATH,GIRL,2018,479.0,24,0,1,1
166,JPN,PISAMATH,BOY,2003,539.0,25,0,0,1
167,JPN,PISAMATH,BOY,2006,533.0,25,0,0,1
168,JPN,PISAMATH,BOY,2009,534.0,25,0,0,1
169,JPN,PISAMATH,BOY,2012,544.884,25,0,0,1
170,JPN,PISAMATH,BOY,2015,539.0,25,0,0,1
171,JPN,PISAMATH,BOY,2018,532.0,25,0,0,1
172,JPN,PISAMATH,GIRL,2003,530.0,25,0,1,1
173,JPN,PISAMATH,GIRL,2006,513.0,25,0,1,1
174,JPN,PISAMATH,GIRL,2009,524.0,25,0,1,1
175,JPN,PISAMATH,GIRL,2012,527.011,25,0,1,1
176,JPN,PISAMATH,GIRL,2015,525.0,25,0,1,1
177,JPN,PISAMATH,GIRL,2018,522.0,25,0,1,1
178,KOR,PISAMATH,BOY,2003,552.0,26,0,0,1
179,KOR,PISAMATH,BOY,2006,552.0,26,0,0,1
180,KOR,PISAMATH,BOY,2009,548.0,26,0,0,1
181,KOR,PISAMATH,BOY,2012,562.114,26,0,0,1
182,KOR,PISAMATH,BOY,2015,521.0,26,0,0,1
183,KOR,PISAMATH,BOY,2018,528.0,26,0,0,1
184,KOR,PISAMATH,GIRL,2003,528.0,26,0,1,1
185,KOR,PISAMATH,GIRL,2006,543.0,26,0,1,1
186,KOR,PISAMATH,GIRL,2009,544.0,26,0,1,1
187,KOR,PISAMATH,GIRL,2012,544.193,26,0,1,1
188,KOR,PISAMATH,GIRL,2015,528.0,26,0,1,1
189,KOR,PISAMATH,GIRL,2018,524.0,26,0,1,1
190,LUX,PISAMATH,BOY,2003,502.0,28,0,0,1
191,LUX,PISAMATH,BOY,2006,498.0,28,0,0,1
192,LUX,PISAMATH,BOY,2009,499.0,28,0,0,1
193,LUX,PISAMATH,BOY,2012,502.193,28,0,0,1
194,LUX,PISAMATH,BOY,2015,491.0,28,0,0,1
195,LUX,PISAMATH,BOY,2018,487.0,28,0,0,1
196,LUX,PISAMATH,GIRL,2003,485.0,28,0,1,1
197,LUX,PISAMATH,GIRL,2006,482.0,28,0,1,1
198,LUX,PISAMATH,GIRL,2009,479.0,28,0,1,1
199,LUX,PISAMATH,GIRL,2012,477.117,28,0,1,1
200,LUX,PISAMATH,GIRL,2015,480.0,28,0,1,1
201,LUX,PISAMATH,GIRL,2018,480.0,28,0,1,1
202,MEX,PISAMATH,BOY,2003,391.0,31,0,0,2
203,MEX,PISAMATH,BOY,2006,410.0,31,0,0,2
204,MEX,PISAMATH,BOY,2009,425.0,31,0,0,2
205,MEX,PISAMATH,BOY,2012,420.411,31,0,0,2
206,MEX,PISAMATH,BOY,2015,412.0,31,0,0,2
207,MEX,PISAMATH,BOY,2018,415.0,31,0,0,2
208,MEX,PISAMATH,GIRL,2003,380.0,31,0,1,2
209,MEX,PISAMATH,GIRL,2006,401.0,31,0,1,2
210,MEX,PISAMATH,GIRL,2009,412.0,31,0,1,2
211,MEX,PISAMATH,GIRL,2012,406.427,31,0,1,2
212,MEX,PISAMATH,GIRL,2015,404.0,31,0,1,2
213,MEX,PISAMATH,GIRL,2018,403.0,31,0,1,2
214,NLD,PISAMATH,BOY,2003,540.0,32,0,0,1
215,NLD,PISAMATH,BOY,2006,537.0,32,0,0,1
216,NLD,PISAMATH,BOY,2009,534.0,32,0,0,1
217,NLD,PISAMATH,BOY,2012,527.967,32,0,0,1
218,NLD,PISAMATH,BOY,2015,513.0,32,0,0,1
219,NLD,PISAMATH,BOY,2018,520.0,32,0,0,1
220,NLD,PISAMATH,GIRL,2003,535.0,32,0,1,1
221,NLD,PISAMATH,GIRL,2006,524.0,32,0,1,1
222,NLD,PISAMATH,GIRL,2009,517.0,32,0,1,1
223,NLD,PISAMATH,GIRL,2012,517.738,32,0,1,1
224,NLD,PISAMATH,GIRL,2015,511.0,32,0,1,1
225,NLD,PISAMATH,GIRL,2018,519.0,32,0,1,1
226,NZL,PISAMATH,BOY,2003,531.0,34,0,0,1
227,NZL,PISAMATH,BOY,2006,527.0,34,0,0,1
228,NZL,PISAMATH,BOY,2009,523.0,34,0,0,1
229,NZL,PISAMATH,BOY,2012,507.112,34,0,0,1
230,NZL,PISAMATH,BOY,2015,499.0,34,0,0,1
231,NZL,PISAMATH,BOY,2018,499.0,34,0,0,1
232,NZL,PISAMATH,GIRL,2003,516.0,34,0,1,1
233,NZL,PISAMATH,GIRL,2006,517.0,34,0,1,1
